Ontology ID	 Label NCBI	Label FoodOn	NCBI parent ID	Ontology Alternative Term	Exact Synonym (FoodOn)	See Also	FDA Common Name [after changes]	FDA SFL Common Name	FDA Acceptable Market Name(s) [after changes]	FDA SFL Acceptable Market Name	NCBI Genbank Common Name [after changes]	ITIS (TSN)	FDA Alternative Term [original]	FDA Acceptable Market Name(s) [original]	NCBI Genbank Common Name [original]	FDA law	NCBI Synonym	terms source | term requested	"term editor	"
NCBITaxon:13721	Kajikia audax					https://en.wikipedia.org/wiki/Striped_marlin	striped marlin	FDA SFL Common Name	marlin	FDA SFL Acceptable Market Name		ITIS:768127	striped marlin	marlin	striped marlin		Makaira audax | Tetrapturus audax | Istiophorus audax | Histiophorus audax | Marlina audax	FDA Seafood List 2021 | Genome Tracker	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:8226	Katsuwonus pelamis					https://en.wikipedia.org/wiki/Skipjack_tuna	skipjack tuna	FDA SFL Common Name	tuna 	FDA SFL Acceptable Market Name		ITIS:172401	skipjack tuna	tuna (*)	skipjack tuna		Euthynnus pelamis | Scomber pelamis	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:13676	Scomber japonicus					https://en.wikipedia.org/wiki/Chub_mackerel	pacific chub mackerel	FDA SFL Common Name	chub mackerel	FDA SFL Acceptable Market Name	chub mackerel	ITIS:172412	pacific chub mackerel	mackerel, chub	chub mackerel		Pneumatophorus japonicus	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:119682	Archosargus probatocephalus					https://en.wikipedia.org/wiki/Archosargus_probatocephalus	sheepshead	FDA SFL Common Name	sheepshead	FDA SFL Acceptable Market Name		ITIS:169189	sheepshead	sheepshead			Sparus probatocephalus	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:72060	Sebastes brevispinis					https://en.wikipedia.org/wiki/Sebastes|https://www.fishbase.de/summary/Sebastes-brevispinis.html	silvergray rockfish	FDA SFL Common Name	rockfish	FDA SFL Acceptable Market Name		ITIS:166711	silvergray rockfish	rockfish	silvergray rockfish		Sebastichthys proriger brevispinis	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:195632	Platichthys stellatus					https://en.wikipedia.org/wiki/Starry_flounder	starry flounder	FDA SFL Common Name	flounder	FDA SFL Acceptable Market Name		ITIS:172893	starry flounder	flounder	starry flounder		Platicthys stellatus | Pleuronectes stellatus	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:8231	Sarda chiliensis					https://en.wikipedia.org/wiki/Sarda_chiliensis	pacific bonito	FDA SFL Common Name	bonito 	FDA SFL Acceptable Market Name		ITIS:172408	pacific bonito	bonito (*)	pacific bonito		Pelamys chiliensis	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:195612	Glyptocephalus zachirus					https://en.wikipedia.org/wiki/Rex_sole	rex sole	FDA SFL Common Name	sole | flounder	FDA SFL Acceptable Market Name		ITIS:172978	rex sole	sole or flounder	rex sole		Errex zachirus	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:40505	Lutjanus campechanus					https://en.wikipedia.org/wiki/Northern_red_snapper	red snapper	FDA SFL Common Name	snapper | red snapper	FDA SFL Acceptable Market Name	northern red snapper	ITIS:168853	red snapper	snapper or red snapper	northern red snapper		Mesoprion campechanus	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:394703	Sebastes proriger					https://en.wikipedia.org/wiki/Sebastes|https://www.fishbase.de/summary/Sebastes-proriger.html	redstripe rockfish	FDA SFL Common Name	rockfish	FDA SFL Acceptable Market Name		ITIS:166736	redstripe rockfish	rockfish	redstripe rockfish		Sebastichthys proriger	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:214485	Sebastes aleutianus					https://en.wikipedia.org/wiki/Rougheye_rockfish	rougheye rockfish	FDA SFL Common Name	rockfish	FDA SFL Acceptable Market Name		ITIS:166706	rougheye rockfish	rockfish	rougheye rockfish		Sebastodes aleutianus	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:225760	Siganus javus					https://en.wikipedia.org/wiki/Streaked_spinefoot	bluespotted spinefish	FDA SFL Common Name	spinefoot | streaked spinefoot	FDA SFL Acceptable Market Name	streaked spinefoot	ITIS:172342	bluespotted spinefish	spinefoot or streaked spinefoot	streaked spinefoot		Teuthis javus | Siganus java	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:72084	Sebastes maliger					https://en.wikipedia.org/wiki/Quillback_rockfish	quillback rockfish	FDA SFL Common Name	rockfish	FDA SFL Acceptable Market Name		ITIS:166726	quillback rockfish	rockfish	quillback rockfish		Sebastichthys maliger	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:75562	Pagrus auratus					https://en.wikipedia.org/wiki/Australasian_snapper	squirefish	FDA SFL Common Name	porgy | sea bream	FDA SFL Acceptable Market Name		ITIS:647881	squirefish	porgy or sea bream	squirefish		Chrysophrys auratus | Pagrosomus auratus | Labrus auratus	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:195609	Eopsetta jordani					https://en.wikipedia.org/wiki/Petrale_sole	petrale sole	FDA SFL Common Name	sole | flounder	FDA SFL Acceptable Market Name		ITIS:172868	petrale sole	sole or flounder	petrale sole		Hippoglossoides jordani	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:290247	Lutjanus peru					https://en.wikipedia.org/wiki/Lutjanus	pacific snapper	FDA SFL Common Name	snapper	FDA SFL Acceptable Market Name	pacific red snapper	ITIS:168897	pacific snapper	snapper	pacific red snapper		Neomaenis peru	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:72055	Sebastes alutus					https://en.wikipedia.org/wiki/Pacific_ocean_perch	pacific ocean perch	FDA SFL Common Name	ocean perch | rockfish	FDA SFL Acceptable Market Name		ITIS:166707	pacific ocean perch	perch, ocean or rockfish	pacific ocean perch		Sebastichthys alutus	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:100907	Dissostichus eleginoides					https://en.wikipedia.org/wiki/Patagonian_toothfish	patagonian toothfish	FDA SFL Common Name	toothfish | chilean seabass	FDA SFL Acceptable Market Name		ITIS:642807	patagonian toothfish	toothfish or chilean seabass	patagonian toothfish			FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:435272	Parastromateus niger					https://en.wikipedia.org/wiki/Petrale_sole	black pomfret	FDA SFL Common Name	pomfret	FDA SFL Acceptable Market Name		ITIS:168785	black pomfret	pomfret	black pomfret		Stromateus niger	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:8017	Oncorhynchus gorbuscha					https://en.wikipedia.org/wiki/Pink_salmon	pink salmon	FDA SFL Common Name	pink salmon | humpback 	FDA SFL Acceptable Market Name		ITIS:161975	pink salmon	salmon, pink or humpback (*)	pink salmon		Salmo gorbuscha	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:80720	Gadus macrocephalus				cod fish	https://en.wikipedia.org/wiki/Pacific_cod	pacific cod	FDA SFL Common Name	cod | alaska cod	FDA SFL Acceptable Market Name		ITIS:164711	pacific cod	cod or alaska cod	pacific cod			FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:55125	Sphyraena argentea					https://en.wikipedia.org/wiki/Pacific_barracuda	pacific barracuda	FDA SFL Common Name	barracuda	FDA SFL Acceptable Market Name		ITIS:170426	pacific barracuda	barracuda	pacific barracuda			FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:206143	Pampus argenteus					https://en.wikipedia.org/wiki/Pampus_argenteus	silver pomfret	FDA SFL Common Name	butterfish	FDA SFL Acceptable Market Name		ITIS:172572	silver pomfret	butterfish	silver pomfret		Pampus nozawae | Ishikawa nozawae | Stromateus argenteus | Stromateoides argenteus	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
