?class	?label	?syn_type
<http://purl.obolibrary.org/obo/CHEBI_113451>	"sodium ascorbate"@en	"alternative term"
<http://purl.obolibrary.org/obo/CHEBI_113451>	"sodium l-ascorbate"@en	"synonym"
<http://purl.obolibrary.org/obo/CHEBI_113455>	"sodium benzoate"	"label"
<http://purl.obolibrary.org/obo/CHEBI_113455>	"sodium benzoate"@en	"alternative term"
<http://purl.obolibrary.org/obo/CHEBI_114786>	"sodium disulfite"	"label"
<http://purl.obolibrary.org/obo/CHEBI_114786>	"sodium metabisulfite"@en	"synonym"
<http://purl.obolibrary.org/obo/CHEBI_114786>	"sodium metabisulphite"@en	"alternative term"
<http://purl.obolibrary.org/obo/CHEBI_125451>	"3,5,7-trihydroxy-2-[3-(4-hydroxy-3-methoxyphenyl)-2-(hydroxymethyl)-2,3-dihydro-1,4-benzodioxin-6-yl]-3,4-dihydro-2H-1-benzopyran-4-one"	"label"
<http://purl.obolibrary.org/obo/CHEBI_125451>	"silymarin"@en	"label"
<http://purl.obolibrary.org/obo/CHEBI_12777>	"vitamin A"	"label"
<http://purl.obolibrary.org/obo/CHEBI_12777>	"vitamin A"@en	"label"
<http://purl.obolibrary.org/obo/CHEBI_12777>	"vitamin a"@en	"alternative term"
<http://purl.obolibrary.org/obo/CHEBI_131526>	"potassium carbonate"	"label"
<http://purl.obolibrary.org/obo/CHEBI_131526>	"potassium carbonate"@en	"alternative term"
<http://purl.obolibrary.org/obo/CHEBI_131526>	"potassium carbonates"@en	"alternative term"
<http://purl.obolibrary.org/obo/CHEBI_131693>	"7,10,13,16-docosatetraenoic acid"	"label"
<http://purl.obolibrary.org/obo/CHEBI_131693>	"docosa-7,10,13,16-tetraenoic acid"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_131693>	"docosatetraenoic acid"@en	"label"
<http://purl.obolibrary.org/obo/CHEBI_131927>	"dicarboxylic acids and O-substituted derivatives"	"label"
<http://purl.obolibrary.org/obo/CHEBI_132106>	"sodium propionate"	"label"
<http://purl.obolibrary.org/obo/CHEBI_132106>	"sodium propionate"@en	"alternative term"
<http://purl.obolibrary.org/obo/CHEBI_132141>	"1,2-naphthoquinones"	"label"
<http://purl.obolibrary.org/obo/CHEBI_132141>	"1,2-napthoquinone"@en	"label"
<http://purl.obolibrary.org/obo/CHEBI_132142>	"1,4-naphthoquinones"	"label"
<http://purl.obolibrary.org/obo/CHEBI_132142>	"1,4-napthoquinone"@en	"label"
